,long_tickers,short_tickers
2020-06-30,[],[]
2020-10-31,[],[]
2020-12-31,['FRG'],['FRG']
2021-01-31,"['ASO', 'OLLI', 'WSM', 'LOVE', 'NNWWF', 'CRM', 'DLTR', 'HIBB', 'KR']",['CATO']
2021-02-28,"['ASO', 'OLLI', 'WSM', 'LOVE', 'NNWWF', 'CRM', 'DLTR', 'HIBB', 'KR', 'BJ', 'HELE']",['SAR']
2021-03-31,"['OLLI', 'WSM', 'CRM', 'DLTR', 'KR', 'BJ', 'HELE', 'ACI', 'STZ', 'CCORF', 'VOD', 'WMS', 'SENEA']",[]
2021-04-30,"['OLLI', 'WSM', 'CRM', 'DLTR', 'KR', 'BJ', 'HELE', 'ACI', 'STZ', 'CCORF', 'VOD', 'WMS', 'SENEA']",[]
2021-05-31,"['OLLI', 'WSM', 'CRM', 'DLTR', 'KR', 'BJ', 'HELE', 'ACI', 'STZ', 'VOD', 'WAFU', 'QRVO', 'RRFFF', 'LOGI']",[]
2021-06-30,"['OLLI', 'WSM', 'CRM', 'DLTR', 'KR', 'BJ', 'HELE', 'ACI', 'STZ', 'VOD', 'WAFU', 'QRVO', 'RRFFF', 'LOGI']",[]
2021-07-31,"['OLLI', 'WSM', 'CRM', 'DLTR', 'KR', 'BJ', 'HELE', 'ACI', 'STZ', 'VOD', 'QRVO', 'LOGI', 'DT', 'OMCC']",[]
2021-08-31,"['OLLI', 'WSM', 'CRM', 'DLTR', 'KR', 'BJ', 'HELE', 'ACI', 'STZ', 'VOD', 'QRVO', 'LOGI', 'DT', 'OMCC']",[]
2021-09-30,"['OLLI', 'WSM', 'CRM', 'DLTR', 'KR', 'BJ', 'HELE', 'ACI', 'STZ', 'VOD', 'QRVO', 'LOGI', 'DT', 'UHAL', 'HRB']",[]
2021-10-31,"['OLLI', 'WSM', 'CRM', 'DLTR', 'KR', 'BJ', 'HELE', 'ACI', 'STZ', 'VOD', 'QRVO', 'LOGI', 'DT', 'UHAL', 'HRB']",[]
2021-11-30,"['OLLI', 'WSM', 'CRM', 'DLTR', 'KR', 'BJ', 'HELE', 'ACI', 'STZ', 'VOD', 'QRVO', 'LOGI', 'DT', 'HRB', 'SHVLF']",[]
2021-12-31,"['OLLI', 'WSM', 'CRM', 'DLTR', 'KR', 'BJ', 'HELE', 'ACI', 'STZ', 'VOD', 'QRVO', 'LOGI', 'DT', 'HRB', 'SHVLF']",[]
2022-01-31,"['HELE', 'ACI', 'STZ', 'VOD', 'QRVO', 'LOGI', 'DT', 'HRB', 'CULP', 'FEIM', 'SWBI', 'SJM', 'TCYSF']",[]
2022-02-28,"['VOD', 'QRVO', 'LOGI', 'DT', 'HRB', 'CULP', 'FEIM', 'SWBI', 'SJM', 'TCYSF', 'FDX']",[]
2022-03-31,"['HRB', 'SJM', 'FDX', 'AIR', 'CAG', 'HMY', 'BHP', 'PFGC', 'OBGRF', 'AIT']",[]
2022-04-30,"['HRB', 'FDX', 'AIR', 'CAG', 'HMY', 'BHP', 'PFGC', 'OBGRF', 'AIT']",[]
2022-05-31,"['BHP', 'PFGC', 'AIT', 'TRAK', 'FBPI', 'TPR', 'COHR', 'ETD']",[]
2022-06-30,"['SMED', 'RGLD', 'DCI', 'CBRL', 'MAYS', 'FERG', 'SJR']",[]
2022-07-31,"['SJR', 'WBA', 'RDUS', 'MU', 'JJSF', 'CRNC', 'SBH']",[]
2022-08-31,"['JJSF', 'CRNC', 'SBH', '2638B']",[]
2022-09-30,"['REVG', 'NDSN', 'SAFM', 'VOLT', 'AVGO', 'UBA', 'TOL']",[]
2022-10-31,"['SAFM', 'VOLT', 'LEVI', 'CYSNF', 'INFO.1', 'MTYFF']",[]
2022-11-30,"['INFO.1', 'ZWS', 'LYG', 'MMSI', 'MEOH', 'MOS', 'MS', 'LFUS']",[]
2022-12-31,[],[]
2023-01-31,"['ATZAF', 'ETCC', 'VEDL']",[]
2023-02-28,"['VEDL', 'CNVS', 'BGI']",[]
2023-03-31,"['MDT', 'LGTY', 'KFY', 'PAYX', 'SCHL', 'TAYD', 'CBKM', 'BHP', 'MSGS']",[]
2023-04-30,"['PAYX', 'SCHL', 'TAYD', 'CBKM', 'BHP', 'MSGS', 'AMTY', 'PDRX', 'TECH']",[]
2023-05-31,"['BHP', 'MSGS', 'AMTY', 'PDRX', 'TECH', 'ESP', 'SRNN', 'MSFT']",[]
2023-06-30,"['MTN', '9919B', 'WGO', 'SLP', 'SPPJY', 'HP']",[]
2023-07-31,"['9919B', 'WGO', 'SLP', 'SPPJY', 'HP']",[]
2023-08-31,"['TDG', 'TTEK', 'IFNNY', 'QIPT', 'ESE', 'V', 'MBPFY', 'DIS']",[]
2023-09-30,"['PLAB', 'CURN', 'AVGO']",[]
2023-10-31,"['NETWF', 'MSEX']",[]
2023-11-30,"['MSEX', 'KANP', 'GXP1']",[]
2023-12-31,"['LSI', 'FOCS', 'DEN', 'UNIEF']",[]
2024-01-31,"['CHS', 'SCS', 'MCHP', 'CMCO']",[]
2024-02-29,[],[]
2024-03-31,[],[]
2024-04-30,[],[]
2024-05-31,[],[]
2024-06-30,[],[]
2024-07-31,[],[]
2024-08-31,[],[]
2024-09-30,[],[]
